web-scraper-order,web-scraper-start-url,articles_links,articles_links-href,etat,marque,annee,boite_vitesse,adresse,prix,image_lien-src
"1706253406-309","https://www.expat-dakar.com/voitures?page=20","FORD F150 STX 2019
VenantFord2019Automatique
Hann maristes,
Dakar

mercredi, 16:26

27 000 000 F Cfa

772772525","https://www.expat-dakar.com/annonce/ford-f150-stx-2019-5980886","Venant","Ford","2019","Automatique","Hann maristes

Dakar","27 000 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/3dae09d114b2b89e66ffd51faa5499d6/-/horizon-files-prod/ed/picture/qenq78v2/07ecd3d75cf9753a020c4554818e0ebd0e5a6d1c.jpg"
"1706253409-310","https://www.expat-dakar.com/voitures?page=20","Kia RIO GDI 2017
VenantKia2017Automatique
Hann maristes,
Dakar

mercredi, 16:26

6 500 000 F Cfa

772772525","https://www.expat-dakar.com/annonce/kia-rio-gdi-2017-5858590","Venant","Kia","2017","Automatique","Hann maristes

Dakar","6 500 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/009b780c11de9dc4eda92e29235aa228/-/horizon-files-prod/ed/picture/qv4emwq5/b024d92eeafaff03ccea3aa31d2570e124537265.jpg"
"1706253414-311","https://www.expat-dakar.com/voitures?page=19","Jeep Cherokee Trailhawk 2017
D'occasionJeep2017Automatique
Ouest foire,
Dakar

mercredi, 16:29

11 500 000 F Cfa

12 000 000 F Cfa

Économisez 4.2%

775064385","https://www.expat-dakar.com/annonce/jeep-cherokee-trailhawk-2017-5959762","D'occasion","Jeep","2017","Automatique","Ouest foire

Dakar","12 000 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/be5f09a0aef9552143b292a0b3ef83eb/-/horizon-files-prod/ed/picture/qdeknqj0/fba0946f656ccbcd7370807bb6dff792c157abac.jpg"
"1706253416-312","https://www.expat-dakar.com/voitures?page=19","Kia K5 2015 ultimate venant
NeufKia2015Automatique
Cité Damel,
Dakar

mercredi, 16:32

7 500 000 F Cfa

787350929","https://www.expat-dakar.com/annonce/kia-k5-2015-ultimate-venant-5988568","Neuf","Kia","2015","Automatique","Cité Damel

Dakar","7 500 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/1c90936573635ef87dad0b2ef28842c1/-/horizon-files-prod/ed/picture/qv4e5z4v/a9f008e1a6befd8c65a0763feebeebd62885a533.jpg"
"1706253419-313","https://www.expat-dakar.com/voitures?page=19","Vendre voiture range Rover
D'occasionLand Rover2012Automatique
Sacré-cœur,
Dakar

mercredi, 16:35

5 500 000 F Cfa

7 000 000 F Cfa

Économisez 21.4%

781172424

778316601","https://www.expat-dakar.com/annonce/vendre-voiture-range-rover-5980005","D'occasion","Land Rover","2012","Automatique","Sacré-cœur

Dakar","7 000 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/84da757dc6a4c9cf85555f67314a0a00/-/horizon-files-prod/ed/picture/qngxzkjw/f07c4f1f438e78c191b004fd95712513aaef42f7.jpg"
"1706253421-314","https://www.expat-dakar.com/voitures?page=19","TOYOTA RAV 4
VenantToyota2015Automatique
Parcelles Assainies,
Dakar

mercredi, 16:37

13 500 000 F Cfa

784651230","https://www.expat-dakar.com/annonce/toyota-rav-4-5970716","Venant","Toyota","2015","Automatique","Parcelles Assainies

Dakar","13 500 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/a46b64da4fd8def5cacef4002e373568/-/horizon-files-prod/ed/picture/qpd624mm/33e7c1367b773931b93b44667fa00d3e9dc0b400.jpg"
"1706253423-315","https://www.expat-dakar.com/voitures?page=19","TOYOTA PRADO LAND CRUISER VX 2020
VenantToyota2020Automatique
Almadies 2,
Dakar

mercredi, 16:39

45 000 000 F Cfa

777984596","https://www.expat-dakar.com/annonce/toyota-prado-land-cruiser-vx-2020-5989045","Venant","Toyota","2020","Automatique","Almadies 2

Dakar","45 000 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/5e2cde3286bd7bc83d238650f3c346f7/-/horizon-files-prod/ed/picture/q785r98x/b24f40a643038db8e084df7b9044586bf6168d21.jpg"
"1706253426-316","https://www.expat-dakar.com/voitures?page=19","Jeep Wrangler hard-top 2016 à vendre
D'occasionJeep2016Automatique
Plateau,
Dakar

mercredi, 16:55

19 500 000 F Cfa

20 000 000 F Cfa

Économisez 2.5%

771345667","https://www.expat-dakar.com/annonce/jeep-wrangler-hard-top-2016-a-vendre-5616087","D'occasion","Jeep","2016","Automatique","Plateau

Dakar","20 000 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/b4d1950fb3534ec221627c1342e5ad69/-/horizon-files-prod/ed/picture/qzvvgxek/23c01033c8c10642b8ca157d24a3ac7f083c725d.jpg"
"1706253428-317","https://www.expat-dakar.com/voitures?page=19","Mitsubishi Pajero 2014
D'occasionMitsubishi2014Automatique
Mermoz,
Dakar

mercredi, 16:56

10 750 000 F Cfa

777753988","https://www.expat-dakar.com/annonce/mitsubishi-pajero-2014-5947172","D'occasion","Mitsubishi","2014","Automatique","Mermoz

Dakar","10 750 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/fc9653bf80543b8c5986bc709aa67b02/-/horizon-files-prod/ed/picture/qwe2k85m/50f2204eca1e19606e82b20594400ac3b578d59c.jpg"
"1706253431-318","https://www.expat-dakar.com/voitures?page=19","BMW X5 FULL OPTIONS
D'occasionBMW2015Automatique
Sud foire,
Dakar

mercredi, 16:56

14 950 000 F Cfa

777753988","https://www.expat-dakar.com/annonce/bmw-x5-full-options-5878044","D'occasion","BMW","2015","Automatique","Sud foire

Dakar","14 950 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/3ad23e8703466d47f1a0bfeb250bd261/-/horizon-files-prod/ed/picture/q6xk67wp/d39c1367b3e0983b3da3f90397a69edfc46aab7d.jpg"
"1706253433-319","https://www.expat-dakar.com/voitures?page=19","Kia sportage 2016 AWD
NeufKia2016Automatique
VDN,
Dakar

mercredi, 16:58

9 200 000 F Cfa

776105013

776334040

762529194","https://www.expat-dakar.com/annonce/kia-sportage-2016-awd-5989051","Neuf","Kia","2016","Automatique","VDN

Dakar","9 200 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/eed6b4449b3bd7fc6ddef189e15b6980/-/horizon-files-prod/ed/picture/qq478g4k/5c5336a992205f10808f8ad94e4fbed1b51e7b65.jpg"
"1706253436-320","https://www.expat-dakar.com/voitures?page=19","Mini Cooper countryman 2015
VenantMini2015Automatique
Almadies 2,
Dakar

mercredi, 17:09

11 500 000 F Cfa

777984596","https://www.expat-dakar.com/annonce/mini-cooper-countryman-2015-5989054","Venant","Mini","2015","Automatique","Almadies 2

Dakar","11 500 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/3c80a582ddd60cb11b8f40f3ea9e3e98/-/horizon-files-prod/ed/picture/qrzv45zx/3558f220ced7a3bedb430dc13992f80d2b37eed9.jpg"
"1706253441-321","https://www.expat-dakar.com/voitures?page=18","CLA essence 2019
D'occasionMercedes-Benz2019Automatique
Médina,
Dakar

mercredi, 17:18

9 000 000 F Cfa

707918357","https://www.expat-dakar.com/annonce/cla-essence-2019-5964668","D'occasion","Mercedes-Benz","2019","Automatique","Médina

Dakar","9 000 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/67e1422daa078e56cc5a10149d6b3c74/-/horizon-files-prod/ed/picture/qv4exerg/b950bd731d6c3b2d7e98d09420615974191c5356.jpg"
"1706253443-322","https://www.expat-dakar.com/voitures?page=18","KIA Sportage 2016
VenantKia2016Automatique
Sacré-cœur,
Dakar

mercredi, 17:36

12 500 000 F Cfa

778169439

778169439","https://www.expat-dakar.com/annonce/kia-sportage-2016-5280036","Venant","Kia","2016","Automatique","Sacré-cœur

Dakar","12 500 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/509d17a66228cbbb46992b29a9dde35e/-/horizon-files-prod/ed/picture/qkrmq4gn/73bffec4f60cd83cb319e9c63ea38b4493de92d1.jpg"
"1706253445-323","https://www.expat-dakar.com/voitures?page=18","Range rover Vogue Sp 2020
VenantRange Rover2020Automatique
Mermoz,
Dakar

mercredi, 18:38

49 100 000 F Cfa

776162942","https://www.expat-dakar.com/annonce/range-rover-vogue-sp-2020-5989101","Venant","Range Rover","2020","Automatique","Mermoz

Dakar","49 100 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/e1a4b3fcf008abfed143281abda94ccd/-/horizon-files-prod/ed/picture/q785r95e/db4de3c4c6034effa4e813097591c117bc2192eb.jpg"
"1706253448-324","https://www.expat-dakar.com/voitures?page=18","PEUGEOT 308CC Décapotable
D'occasionPeugeot2011Manuelle
Almadies,
Dakar

mercredi, 18:56

4 500 000 F Cfa

773280831

773280831","https://www.expat-dakar.com/annonce/peugeot-308cc-decapotable-5963173","D'occasion","Peugeot","2011","Manuelle","Almadies

Dakar","4 500 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/be4d4b4284bae71ba22e72df81c00daf/-/horizon-files-prod/ed/picture/qq47gqkw/bba1399fbcd2742569c867371f4c5c09d76ed631.jpg"
"1706253450-325","https://www.expat-dakar.com/voitures?page=18","Peugeot partenaire
NeufPeugeot2018Manuelle
Almadies,
Dakar

mercredi, 19:10

19 500 000 F Cfa

786874366","https://www.expat-dakar.com/annonce/peugeot-partenaire-5988859","Neuf","Peugeot","2018","Manuelle","Almadies

Dakar","19 500 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/71cb5ac19c0664467dc93ed75cd50025/-/horizon-files-prod/ed/picture/qj4r7z98/44c2dc4d5f316e91371f72de10c6d0e2bfcbcb72.jpg"
"1706253453-326","https://www.expat-dakar.com/voitures?page=18","Mazda cx5 2015
VenantMazda2015Automatique
Hann maristes,
Dakar

mercredi, 19:28

8 700 000 F Cfa

777061622","https://www.expat-dakar.com/annonce/mazda-cx5-2015-5969153","Venant","Mazda","2015","Automatique","Hann maristes

Dakar","8 700 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/1a35c379d20d039426b4a834f8884361/-/horizon-files-prod/ed/picture/q4487qe8/b726e894d92f35c9a576cb1cd28a5f6fa179f523.jpg"
"1706253455-327","https://www.expat-dakar.com/voitures?page=18","CHEVROLET TRAX 2016
VenantChevrolet2016Automatique
Sicap Liberté,
Dakar

mercredi, 19:39

7 500 000 F Cfa

781495013

772820361","https://www.expat-dakar.com/annonce/chevrolet-trax-2016-5984929","Venant","Chevrolet","2016","Automatique","Sicap Liberté

Dakar","7 500 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/a03cfe107e483271d62c2a6be0ad276a/-/horizon-files-prod/ed/picture/qq47848z/e0d6533c4d03bfcf22ecf59215cea910244cb83d.jpg"
"1706253458-328","https://www.expat-dakar.com/voitures?page=18","MERCEDES BENZ USA Inc / CLASSE C
VenantMercedes-Benz2016Automatique
Dieuppeul,
Dakar

mercredi, 19:42

12 000 000 F Cfa","https://www.expat-dakar.com/annonce/mercedes-benz-usa-inc-classe-c-5989128","Venant","Mercedes-Benz","2016","Automatique","Dieuppeul

Dakar","12 000 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/dc07c7bc77ebf4c5466ee2aae059a6b4/-/horizon-files-prod/ed/picture/qwe25jrz/56bf4c608f737944da0d5ee9f6b9fe6754d6e3c8.jpg"
"1706253460-329","https://www.expat-dakar.com/voitures?page=18","Hyundai Santafe 2017
VenantHyundai2017Automatique
Sacré-cœur,
Dakar

mercredi, 19:58

13 500 000 F Cfa

778169439

778169439","https://www.expat-dakar.com/annonce/hyundai-santafe-2017-5367097","Venant","Hyundai","2017","Automatique","Sacré-cœur

Dakar","13 500 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/dc7587d8ea002e59c01fc2640b733761/-/horizon-files-prod/ed/picture/q44jx4je/ac02d1047a20d52491ff68482f0f1b08b3f99a27.jpg"
"1706253462-330","https://www.expat-dakar.com/voitures?page=18","Toyota Hilux
D'occasionToyota2016Manuelle
Sicap Liberté,
Dakar

mercredi, 20:05

14 000 000 F Cfa

776339207","https://www.expat-dakar.com/annonce/toyota-hilux-5989139","D'occasion","Toyota","2016","Manuelle","Sicap Liberté

Dakar","14 000 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/4f6a854fe8d94d1893a59f10c9b8dc6b/-/horizon-files-prod/ed/picture/q2jqn5k2/52eab450ee02eff0344d33e78c0b6f153e0b8393.jpg"
"1706253467-331","https://www.expat-dakar.com/voitures?page=17","Mitsubishi RVR
VenantMitsubishi2019Automatique
Sicap Liberté,
Dakar

mercredi, 20:06

9 500 000 F Cfa

776339207","https://www.expat-dakar.com/annonce/mitsubishi-rvr-5948793","Venant","Mitsubishi","2019","Automatique","Sicap Liberté

Dakar","9 500 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/671312da857fcc3cf70993ed8643447c/-/horizon-files-prod/ed/picture/qngxj8mv/513e5f251210bae26f38f000b6ed85c125a410f2.jpg"
"1706253470-332","https://www.expat-dakar.com/voitures?page=17","Ford edge SEL
VenantFord2019
Sicap Liberté,
Dakar

mercredi, 20:09

14 800 000 F Cfa

776339207","https://www.expat-dakar.com/annonce/ford-edge-sel-5973054","Venant","Ford","2019","","Sicap Liberté

Dakar","14 800 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/b068f02e23e09b6721aef7c5e17635f9/-/horizon-files-prod/ed/picture/qrzv5d25/264ca5883cae4be784cfe78e2af675b3b93d1925.jpg"
"1706253472-333","https://www.expat-dakar.com/voitures?page=17","Ford fusion 2010
D'occasionFord2010Automatique
Plateau,
Dakar

mercredi, 20:21

2 800 000 F Cfa

775048186

777748975

761427444","https://www.expat-dakar.com/annonce/ford-fusion-2010-5976359","D'occasion","Ford","2010","Automatique","Plateau

Dakar","2 800 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/e0d315a1f2cb7a51a85aaaf0ce3aa1c0/-/horizon-files-prod/ed/picture/qj4rw6kg/5d20270fe7e4ab244b01ac333779035349992ff0.jpg"
"1706253475-334","https://www.expat-dakar.com/voitures?page=17","Toyota Corolla 2009
D'occasionToyota2009Manuelle
Plateau,
Dakar

mercredi, 20:21

2 200 000 F Cfa

775048186

777748975

761427444","https://www.expat-dakar.com/annonce/toyota-corolla-2009-5826562","D'occasion","Toyota","2009","Manuelle","Plateau

Dakar","2 200 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/e0e23865de678cb400450dcb87717811/-/horizon-files-prod/ed/picture/qdewv7dg/e679d85cad38a606e4c7a82257bca548861e5de3.jpg"
"1706253477-335","https://www.expat-dakar.com/voitures?page=17","Toyota Corolla 2011
D'occasionToyota2011Manuelle
Plateau,
Dakar

mercredi, 20:21

2 200 000 F Cfa

775048186

777748975

761427444","https://www.expat-dakar.com/annonce/toyota-corolla-2011-5757906","D'occasion","Toyota","2011","Manuelle","Plateau

Dakar","2 200 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/dd8d0274162209389537b3b71a044189/-/horizon-files-prod/ed/picture/qwez568m/5791d1c0283ce29bcf36d08a6e2d0acd6aba40af.jpg"
"1706253480-336","https://www.expat-dakar.com/voitures?page=17","Hyundai Sonata 2009
D'occasionHyundai2008Manuelle
Plateau,
Dakar

mercredi, 20:21

2 200 000 F Cfa

775048186

777748975

761427444","https://www.expat-dakar.com/annonce/hyundai-sonata-2009-5928011","D'occasion","Hyundai","2008","Manuelle","Plateau

Dakar","2 200 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/5563c5dbaeee793d38c8e3cf7c0c78c9/-/horizon-files-prod/ed/picture/qxj2gm4j/d256dac8fbb8f75d8dc0377d409a8fc96bab1b67.jpg"
"1706253482-337","https://www.expat-dakar.com/voitures?page=17","Mitshibushi Space wagon 2010
D'occasionMitsubishi2010Manuelle
Plateau,
Dakar

mercredi, 20:21

3 800 000 F Cfa

775048186

777748975

761427444","https://www.expat-dakar.com/annonce/mitshibushi-space-wagon-2010-5964663","D'occasion","Mitsubishi","2010","Manuelle","Plateau

Dakar","3 800 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/51c203dbab86cb7092f7385cb0e6e833/-/horizon-files-prod/ed/picture/q56xvxn6/acdf1576d281cf7e9979f0a78e8f1482016b9dac.jpg"
"1706253484-338","https://www.expat-dakar.com/voitures?page=17","Peugeot 406 2000
D'occasionPeugeot2000Manuelle
Plateau,
Dakar

mercredi, 20:54

2 200 000 F Cfa

775048186

777748975

761427444","https://www.expat-dakar.com/annonce/peugeot-406-2000-5971715","D'occasion","Peugeot","2000","Manuelle","Plateau

Dakar","2 200 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/efe8d872abef763a05398a6bb00b8a3e/-/horizon-files-prod/ed/picture/qj4r2k6d/d9a4f79193a0746a4844be5d96b541c2c1506de7.jpg"
"1706253487-339","https://www.expat-dakar.com/voitures?page=17","Nissan altima 2014
D'occasionNissan2014Automatique
Plateau,
Dakar

mercredi, 20:23

3 700 000 F Cfa

775048186

777748975

761427444","https://www.expat-dakar.com/annonce/nissan-altima-2014-5928000","D'occasion","Nissan","2014","Automatique","Plateau

Dakar","3 700 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/4af3a340efb79649cd11967d318652dc/-/horizon-files-prod/ed/picture/q6xknwg4/e5ca0802b62471f7aa20ada1188fcb54ac9d10f3.jpg"
"1706253489-340","https://www.expat-dakar.com/voitures?page=17","CHEVOLET TRAX LTZ 2017
VenantChevrolet2017Automatique
Sicap Liberté,
Dakar

mercredi, 21:17

7 999 000 F Cfa

781495013

772820361","https://www.expat-dakar.com/annonce/chevolet-trax-ltz-2017-5989163","Venant","Chevrolet","2017","Automatique","Sicap Liberté

Dakar","7 999 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/64bf68f91e794c595bb57050e7e80eb2/-/horizon-files-prod/ed/picture/q56x8v9n/d1f19939ead56dcdad4b906abff34c6428d8e97f.jpg"
