marque,annee,etat,localite,region,prix,lien_image
Kymco,2008,D'occasion,Ngaparou,Thiès,800000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/8cf48659f7cbd6488c6d6f8a56dcb4ef/-/horizon-files-prod/ed/picture/qv4ezdqk/010aa1fd6bffc994c8906d1965ad91ca91abc5c2.jpg
CF Moto,2023,D'occasion,Ngaparou,Thiès,11000000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/73a388ecfcb93cfff765d02e1cd349e9/-/horizon-files-prod/ed/picture/q56xgdn7/ae3e69fa0458b9a00fef51fae61c9dac8959261b.jpg
KTM,2023,Neuf,Liberte 6,Dakar,1,https://i.roamcdn.net/hz/ed/listing-thumb-224w/7e27f3be43c06c9636f4ce7b6d117132/-/horizon-files-prod/ed/picture/q8v5g577/9c307219bacbb9a05f5c4ce7cb76ff2b8176a8f8.jpg
Yamaha,2021,Neuf,Liberte 6 extension,Dakar,1800000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/b0456b1f573f0df347d1913b88669cd8/-/horizon-files-prod/ed/picture/qj4rxz84/831f0ae38ed153f2804ee301eb38357d45089647.jpg
Yamaha,2003,D'occasion,Comico,Dakar,920000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/db8777877af3c5b0b16afd9f43793526/-/horizon-files-prod/ed/picture/q9m9gm8w/1e81250e1e797c61f5cc79687d00a8873a86947c.jpg
Autre,2023,Neuf,Liberte 6,Dakar,1,https://i.roamcdn.net/hz/ed/listing-thumb-224w/f608619eae6e086b0c93a24a24264284/-/horizon-files-prod/ed/picture/qv4ekn9m/0ee9314aa151a0345fc1a42b73386428ac21c0ee.jpg
KTM,2019,Neuf,Fann Hock,Dakar,1600000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/229ec34f9c136a038e1f67f3ef7ca4a8/-/horizon-files-prod/ed/picture/q8v59ejn/eb9e942cacd0bb38d67cc76c6b3b6fa7267aa73b.jpg
CF Moto,2022,D'occasion,Nianing,Thiès,11500000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/dfdd71554462da0a0ba5ae57c69a640e/-/horizon-files-prod/ed/picture/q9m9rwew/b3f04f0a2de5553697637838112c8fdf124cde6d.jpg
Yamaha,2018,Neuf,Parcelles Assainies,Dakar,650000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/7415511868d5757b2480df9a4f342fc5/-/horizon-files-prod/ed/picture/qkrgxn0m/67246ed646514192632d851cd653fcc3efbf38fa.jpg
BMW,2017,Venant,Dieuppeul,Dakar,3000000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/197e82a1666d31ddd77b6a2678a5ae8e/-/horizon-files-prod/ed/picture/q8v06jdx/ca8cfbe137ba98079e7f1d44ec541568960deca7.jpg
BMW,2020,Venant,Dieuppeul,Dakar,5900000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/59ae6dac7907186809f172b6f9439cdc/-/horizon-files-prod/ed/picture/qzvdvzek/7d8dab8f2ee1772a56c02cdf16e3d11694434a91.jpg
BMW,2023,Venant,Dieuppeul,Dakar,5900000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/125eaee705b587daa540964f4be40e67/-/horizon-files-prod/ed/picture/qrzvzn58/2613ea078c28bc4391920914febafed7b3393a45.jpg
SYM,2013,Neuf,Golf,Dakar,580000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/82915b35390565a2b6ae76f0a3cc671d/-/horizon-files-prod/ed/picture/qenqxzrk/bc4cd88590476c7cf7c865512cea6e4180367f94.jpg
SYM,2014,Neuf,Golf,Dakar,400000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/c5a805a06a56c53a90cad7aa6f079dea/-/horizon-files-prod/ed/picture/qngxj87g/3c3e55bb71c2247a7fea60f62a7b7138fa0c1f23.jpg
Piaggio,2012,D'occasion,Sicap Liberté,Dakar,350000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/c8569ce16d7a95c63073874e4a7e647c/-/horizon-files-prod/ed/picture/q448624m/b5820efb08cec06d929a5f42c15a7795cae6ced5.jpg
BMW,2007,Venant,Dieuppeul,Dakar,2200000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/ec2e6ea767a598b530e4896a474fa662/-/horizon-files-prod/ed/picture/qv4ekxvv/89dbce2bfd072dea63a0b1feb658e79add49bb79.jpg
Piaggio,2014,Venant,Guediawaye,Dakar,750000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/e4c3243e3d2809b554cadb326f642a38/-/horizon-files-prod/ed/picture/q8v59n0p/66b3a2cb1e3c272a3fbcc96677d547eefc8c9eb2.jpg
Honda,2021,Venant,Médina,Dakar,5750000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/1c7c366028d306e8ec9f8622979f0b95/-/horizon-files-prod/ed/picture/q9m95w26/24fad1967a3bd7f3d910758ab6b4376457db35fe.jpg
BMW,2022,Venant,Almadies,Dakar,9500000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/3823d519bd4c6df466023c20a3f64211/-/horizon-files-prod/ed/picture/q0gw99jj/634fadc1521eae7e1c9303c68c1150b97b4e9a22.jpg
Honda,2021,Neuf,Mermoz,Dakar,1900000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/7e44cf0dda6722f8d074afc43db22f88/-/horizon-files-prod/ed/picture/qpd6jnmp/5db8e238f8264f09bb8c43b001c2db58ff9e30c3.jpg
Autre,2023,Neuf,Castor,Dakar,31000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/ebc03d71c0c35e26e221dce5906812db/-/horizon-files-prod/ed/picture/qv4egxq2/a894b99ea185728e1991c3748d68b679b90d60d7.jpg
KTM,2023,Neuf,Castor,Dakar,650000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/51144d047fd54db08dc138455bd61823/-/horizon-files-prod/ed/picture/q787ejqz/5581c496bd122812d4b6625203c1ea808e66ab1a.jpg
Bajaj,2023,Neuf,Castor,Dakar,1,https://i.roamcdn.net/hz/ed/listing-thumb-224w/5316c1697f3a858a2a0a5fb65096011e/-/horizon-files-prod/ed/picture/q9m98wzj/4d33c08150299d644509fd46f8472a42acb827bb.jpg
Autre,2020,Neuf,Castor,Dakar,595000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/e123de53e7ee6390e33af2d0d8bbd0e8/-/horizon-files-prod/ed/picture/qv4eeewg/038efd4898ba0c1e593350bfcac013dbf3effb23.jpg
KTM,2020,Neuf,Castor,Dakar,580000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/965a0353bcd93d98068dd9daec489774/-/horizon-files-prod/ed/picture/q785jvxx/e169746368356490aaff36785005e888acf55ae5.jpg
Autre,2023,Neuf,Castor,Dakar,1,https://i.roamcdn.net/hz/ed/listing-thumb-224w/ea0ee19c825c8f430befce52a4f36a03/-/horizon-files-prod/ed/picture/qpd6g65m/6dd62eb0f5465a71bda5ae50c19e1842bd00a1b8.jpg
Autre,2023,Neuf,Castor,Dakar,1,https://i.roamcdn.net/hz/ed/listing-thumb-224w/4aa6d36b7a32527786d6b21a03cf7107/-/horizon-files-prod/ed/picture/qgq9p4gr/a06023fe252b612e1e48fca15844c002ce4e7adc.jpg
KTM,2023,Neuf,Castor,Dakar,460000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/0119810018dd0fb328e3534fc1bd8b2a/-/horizon-files-prod/ed/picture/qwe2gnzk/46b4a33691b2b7b1f60f3c7b9c627eb040bbcc35.jpg
Autre,2023,Neuf,Castor,Dakar,12000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/0375d0a37485a046d5c225a521d09d42/-/horizon-files-prod/ed/picture/qv4e9wjm/5d07887532f9a1f3da867e00175473df4d0b5af3.jpg
Piaggio,2012,D'occasion,Sicap Sacré-cœur,Dakar,400000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/ceed5ad4e11ed102e8c280fbf695b274/-/horizon-files-prod/ed/picture/q9m9r700/c15699c174607fcc7e2de1d9f15c7aa704a8f2a4.jpg
Honda,2018,D'occasion,Hann maristes,Dakar,2300000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/5bd663a2bc518ac5bdec11e9f93bb6d1/-/horizon-files-prod/ed/picture/qv4eg25v/a6de59a9b381c6981576ba9b84beca6325c832b8.jpg
Lifan,2023,D'occasion,Ouakam,Dakar,700000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/4ffc986b50ee56d6370a23771379d04f/-/horizon-files-prod/ed/picture/q8v5mpwx/5deef512f1edc28e13a094c29b17dc0e2b054580.jpg
Gilera,2006,Venant,Amitié,Dakar,285000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/1bc76714080f489e920ab56d946e2375/-/horizon-files-prod/ed/picture/q9m9rmqw/22941b72299868dc5cb144dac60fd3c665af8cc3.jpg
Honda,2018,Venant,Plateau,Dakar,3200000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/d536c6800168623fa91326c665b6a0dd/-/horizon-files-prod/ed/picture/qngx0g0m/e77994ad0f5432498982638bf305d76089a88c0f.jpg
Honda,2020,Venant,Liberte 6 extension,Dakar,1750000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/71b0cc75097d47710838170920b3355d/-/horizon-files-prod/ed/picture/q8v5pq5x/25ef6a0fc9bae7fb428910be94764eb8749da314.jpg
Piaggio,2011,Venant,Hlm,Dakar,800000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/fc95b03e9d363b5c794374c52d191a77/-/horizon-files-prod/ed/picture/q8v5pw0r/8a9fb97652a77aa922816e95457909936e67265e.jpg
TGB,2009,D'occasion,Sicap Liberté,Dakar,3100000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/da82cdb03607f07a7d9d275a5041683d/-/horizon-files-prod/ed/picture/qpd609rm/281d516b9f231429a5bdd32de04e995edac685a1.jpg
BMW,2020,D'occasion,Plateau,Dakar,4000000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/83faf4a9d4144fa2f3fe54499bd17f8b/-/horizon-files-prod/ed/picture/q2jq72d6/d3a38b83955e44cd4cdb5df5a579db985a0e6137.jpg
MBK,2008,D'occasion,Ngor,Dakar,300000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/7cd1542ab6beefbb3e4b2679ab3ec876/-/horizon-files-prod/ed/picture/qrzvn4kx/38571388857d22bf73be7f6574523b1cfbfbbff5.jpg
Honda,2023,Venant,Pikine,Dakar,425000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/65ef122f47949e8f4c402c0e224309b8/-/horizon-files-prod/ed/picture/qq4795mw/d6ec56772ec9e0580bc12267228a236dcdd128bf.jpg
Kymco,2021,Venant,Liberte 6 extension,Dakar,1900000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/6ba77f45231bc07c0931494e932a8ec2/-/horizon-files-prod/ed/picture/q9m99ww0/c16e4279090a423490028d139ce6bf5d6b37f658.jpg
Honda,2021,D'occasion,Plateau,Dakar,5000000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/e2e11af4c5a82db40be8c2b74424deb6/-/horizon-files-prod/ed/picture/qrzqpx74/1667c779ed55391733e7b8ddf3208305972ba828.jpg
Yamaha,2019,Venant,Plateau,Dakar,2800000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/4531773dc1a8a283323992482a38dbaa/-/horizon-files-prod/ed/picture/q6xknnqg/a2cdedc41e358c1cef5a27c7a2d012ade64a1dd5.jpg
Piaggio,2012,Neuf,Golf,Dakar,600000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/a199d08aa2d7f4339e87c05c679828b7/-/horizon-files-prod/ed/picture/qv4egwd5/196bf1ceb79e9b353fbf1e43f032d919182747fd.jpg
Honda,2021,Venant,Almadies,Dakar,1500000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/8f8f537739d6c37d1fc572959445ea3b/-/horizon-files-prod/ed/picture/qzvdzde8/5d16311c4a44e907bf031b771370fe676397b33a.jpg
MBK,2012,Venant,Guediawaye,Dakar,200000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/74e522284286c2f0145b8b7daac63c95/-/horizon-files-prod/ed/picture/qq4797w4/3dc6d1c789a86037513bf1f0b32821c03cab9b37.jpg
Suzuki,2005,D'occasion,Castor,Dakar,375000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/4eae67eebbd857c7302bd7cde805c5c1/-/horizon-files-prod/ed/picture/q0gwk09g/77a3af47e772f7ff144db92c045d467a05def0b6.jpg
Autre,2023,Neuf,Grand-Dakar,Dakar,305000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/87cbd8461d64cf7c3901379e558694ae/-/horizon-files-prod/ed/picture/qv4ewnjj/9b610a80e8c910cfd3284fedd399c04809c54c16.jpg
Honda,2018,Neuf,Golf,Dakar,3800000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/55fec128501942a0405a6c7ba033d0a2/-/horizon-files-prod/ed/picture/q2jq7zng/d0a1f1df9e55424e261d2bc5cf17dc8511f23731.png
Suzuki,2017,Venant,Patte d‘oie,Dakar,2200000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/8660e0a9502a506b9fa938bc5a701e84/-/horizon-files-prod/ed/picture/q4488wdm/09edf3aeeea0331c872981d77b324594d5b927b6.jpg
Yamaha,2008,Neuf,Liberte 6 extension,Dakar,800000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/7b62ff024ee0f9f6443a7bf2a8e89207/-/horizon-files-prod/ed/picture/qenqr086/a782db4848d8e778c2004c46e490138a5a797844.jpg
Yamaha,2022,Neuf,Golf,Dakar,4500000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/f88a3907431bbbb8beaef97ad93df0bf/-/horizon-files-prod/ed/picture/qxj28qrw/d0f8010e3020bdc9d3d5504b46beb8befef1379d.jpg
Yamaha,2021,Venant,Fass,Dakar,2300000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/4cb2a6f928900146877b3946277c277f/-/horizon-files-prod/ed/picture/q785jgeg/87284cc69efe09e33b295d510de229f6a9c2716b.jpg
Honda,2016,Venant,Fass,Dakar,1300000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/cee9579a81945add45c2254303dcf688/-/horizon-files-prod/ed/picture/qv4edz7x/9580f6f7397bb3d0fafc7e2ffecf78e4336bbd46.jpg
Hyosung,2016,Venant,Amitié,Dakar,1500000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/582a78a7574a559b0b304911f61a14fb/-/horizon-files-prod/ed/picture/qgq9md09/01bdb7e1e7df5f163d11f631489e7c01310311f1.jpg
Beta,2022,Venant,Grand-Dakar,Dakar,1500000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/a835946be4d835dea7b5377b19a705ff/-/horizon-files-prod/ed/picture/q0gp4256/0dc42aac009c5d83ce2dc6263da94d402ac6f2c3.jpg
Autre,2023,Neuf,Plateau,Dakar,12000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/f1daf4cc4a27959ebf564bb7e7a6befe/-/horizon-files-prod/ed/picture/qenqr9gz/3aef05d8c28d1d925784067801626706687043bd.png
Autre,2020,D'occasion,Almadies,Dakar,300000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/f6fc5018ee22d1d3787d675d01ed4526/or%3D0/horizon-files-prod/ed/picture/qenqr9q2/1239eb5f6bb9bca1f72d767676ba18b88ee08871.jpg
Honda,2010,D'occasion,Somone,Thiès,950000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/6b53c960866e1cfff50d3b80f7fe605c/-/horizon-files-prod/ed/picture/qq47z92j/43aec8eb2c09012484aa0a3493f4758292fbd7c9.jpg
Gilera,2016,Venant,Guediawaye,Dakar,200000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/9ecaf60d5cbf24f2ef4be8c0faf9126b/-/horizon-files-prod/ed/picture/q6xkqkw7/414019929c7522437ba6b78321032002cfa8082e.jpg
MBK,2015,Neuf,Guediawaye,Dakar,250000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/bc935cd036d52dc42c0530301f03c55f/-/horizon-files-prod/ed/picture/qdek9km8/b021ea275367e2e9261d8f2f5493dfe613fd315c.jpg
SYM,2018,Venant,Guediawaye,Dakar,330000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/8fcb305cbc0094a28bf7945a67398147/-/horizon-files-prod/ed/picture/qpd6g6r4/19a08120717851e099a462a1040aa850c3f78f47.jpg
SYM,2018,Neuf,Guediawaye,Dakar,250000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/4a4c5efb9bad716eb0214082e5c5aaa5/-/horizon-files-prod/ed/picture/qj4r6r9g/0d3303e483e8cbddd73cfe811598cc99651543f9.jpg
BMW,2021,Venant,Virage,Dakar,4500000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/8763cf63e7894fe9b70937d0af9ed1b1/-/horizon-files-prod/ed/picture/qkrg8qrw/f90c881ac8c23a6dcfb11c0eae7b7a3c53380658.jpg
Kymco,2012,Neuf,Guediawaye,Dakar,250000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/355bf711b6de28fcaea98baef213dbd7/-/horizon-files-prod/ed/picture/qkrg8xgp/6f8ab8f2291c36bc185b8d5b0e74eb32147323ec.jpg
Honda,2022,Neuf,Guediawaye,Dakar,1400000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/d8cd901849ffe6470e97f169283288d5/-/horizon-files-prod/ed/picture/q6xkk2dg/4f821435fe26e6b0d5173908cd85756935ad14a0.jpg
Yamaha,2019,Venant,Liberte 6 extension,Dakar,1700000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/1a2cdf6f185bc100cb2ee5197b72b7f6/-/horizon-files-prod/ed/picture/q9m98kg6/bb799b0c91f7b29b53b425aedb628a59a5e3f004.jpg
Aprilia,2020,Venant,Guediawaye,Dakar,180000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/e88e3712aec59792fc0de7778f09a91e/-/horizon-files-prod/ed/picture/q8v5zwqn/417fe8aa739dcf07428089be94d35f4f186a1537.jpg
Yamaha,2021,Venant,Sacré-cœur,Dakar,4500000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/6284dfeef28b804a672783265a8e09cd/-/horizon-files-prod/ed/picture/qngxpj7w/90b5aa9817da29729b548cf136652802dcf31823.jpg
Gilera,2003,Venant,Guediawaye,Dakar,250000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/aac17ee78f996831ccfe81507f21c0fd/-/horizon-files-prod/ed/picture/q448n684/8dff9c5907adbdf36cf5af91feeae15813905fa9.jpg
Piaggio,2018,Neuf,Guediawaye,Dakar,230000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/40b115ba5036086dabf8f13b1b916ea7/-/horizon-files-prod/ed/picture/q9m9jn87/4f5930f54584141907ceb486e362ec55af1ff5d2.jpg
MBK,2022,Neuf,Guediawaye,Dakar,330000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/4cd99d92a822f1dfdab1ae1effbff94b/-/horizon-files-prod/ed/picture/q56xdz45/e4a5270fae7a92dcd63a762172a187058d178c02.jpg
Piaggio,2017,Neuf,Guediawaye,Dakar,850000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/6de1c08079d398905bfb9a6ab7822d7a/-/horizon-files-prod/ed/picture/qgq9w42r/4a3070e60ec963d53b1a37b5e6f95f8858d79361.jpg
Yamaha,2021,Venant,Sacré-cœur,Dakar,3400000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/c74b11ae66b09ae5f992933fe82a8626/-/horizon-files-prod/ed/picture/q2jq08m8/3eb43e5eb8f8e5b1a8528e96efa432b1f59440f0.jpg
Honda,2023,Venant,Mermoz,Dakar,1900000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/878d6daaf8da85218a6709d087fb323b/-/horizon-files-prod/ed/picture/q448n0m9/752ea2e39fb93ed3507c60b97aa91d8f700bba4f.jpg
KTM,2020,Neuf,Castor,Dakar,480000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/2cd27eee9ce109c2e76c62e9821c12f7/-/horizon-files-prod/ed/picture/q785wpjz/02713e219469883bc11ac40b7b68bd8760e0cc48.jpg
Kymco,2023,Venant,Pikine,Dakar,475000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/3ca19da10368e2551e2172065254697e/or%3D90/horizon-files-prod/ed/picture/qv4ewp9x/0f6cd2d89e7a9c7f7bb9641c6774f835bdeff8f1.jpg
Piaggio,2018,Neuf,Parcelles Assainies,Dakar,480000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/be26042e746de76085f8f0c21e66ea42/-/horizon-files-prod/ed/picture/qm5pgr0j/d5de35056f1c2c80936cf6d6b74c9d0792040616.jpg
BMW,2023,Venant,Pikine,Dakar,950000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/6d817e7bad1c57b2709ec2c00ca8e9fe/or%3D90/horizon-files-prod/ed/picture/qpd66k0x/742bc98fa84a49d9d646c7b550561d1f30c99028.jpg
BMW,2003,Venant,Guediawaye,Dakar,1500000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/87c68b4892650dc1f76bf32e087b3e96/-/horizon-files-prod/ed/picture/q56xxmge/4ec52152f4c61d9a4aafaaf50a23e41a6b0e99eb.jpg
SYM,2017,Venant,Guediawaye,Dakar,320000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/7f69e0b89d831295a9e70b80464257fe/-/horizon-files-prod/ed/picture/qxj220jm/e925af31bc572b93aacafc72e536704067eaf64c.jpg
Kymco,2016,Neuf,Guediawaye,Dakar,380000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/c9e3a137366befe65415ba3f711b0b3f/-/horizon-files-prod/ed/picture/q4488z42/4e8daa26fd4deba6974e2810f5333ea0cf2229ea.jpg
Aprilia,2020,Neuf,Guediawaye,Dakar,250000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/ce8a055c7129aad60fe98091d6df049d/-/horizon-files-prod/ed/picture/q2jqqvr2/4559fb521d6f01d1caf8e13c6c6a06239540d095.jpg
KTM,2013,D'occasion,Thiaroye,Dakar,1500000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/28887230730caf9e1152e0e3c71a4d29/-/horizon-files-prod/ed/picture/qngxxv2x/360e96164af00874dfdf8147355cee45f8df3385.jpg
Vespa,2016,Venant,Guediawaye,Dakar,230000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/54273cfbdb727cbdbb093d70f138caa1/-/horizon-files-prod/ed/picture/qj4rrgjw/f67a9b7355c8fc1626838de06792f1bbd9bf7c66.jpg
Honda,2011,D'occasion,Fann,Dakar,400000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/af90cf1ac85d388712f3fdde2dea6c25/-/horizon-files-prod/ed/picture/qwez5m6m/43b19c05b334719685a38264deae89cd76d85aeb.jpg
Vespa,2018,Neuf,Guediawaye,Dakar,475000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/b119d6efb53b98e9a39250f290dc8b36/-/horizon-files-prod/ed/picture/qwe229rp/ead28f1e7eb52e95b3ae457ba6fac9ffb139f3ed.jpg
Honda,2018,Venant,Golf,Dakar,3900000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/9464e90c01dcac81fed5bc82c12e920b/-/horizon-files-prod/ed/picture/q6xkkm96/232cae3b2a5292bd8458602d44388c00cfaa58ce.jpg
Kymco,2015,D'occasion,Almadies,Dakar,800000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/1791b72e7763a360d530fae53deba798/-/horizon-files-prod/ed/picture/q44dee6v/887ae59b50c5b62cb2c1fa10843ebc4a245cf1eb.jpg
Honda,2023,Neuf,Castor,Dakar,595000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/2f121c3ac13ef4e8dffa9f6e97692a79/-/horizon-files-prod/ed/picture/q9m829nn/7ea898856034a8cc7ca2f14d35afc60b595a4371.jpg
BMW,2012,Venant,Golf,Dakar,2500000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/1fd343e94c1d49e3cd3179f9e061d57a/-/horizon-files-prod/ed/picture/qpd667wm/47a9ef074cb234361019e2b5c68870fd789a2936.jpg
Yamaha,2022,Venant,Golf,Dakar,3200000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/3c3250161ce521852dbc9b48ccc30942/-/horizon-files-prod/ed/picture/qdekk250/e3cf93ed051e5cad010091a00376df8a3a1aa972.jpg
Yamaha,2019,D'occasion,Médina,Dakar,2700000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/a0ee38ab08ce017fb67d3fc6f07c4684/-/horizon-files-prod/ed/picture/q785785n/a49ef45ab4b440e43dbc826a6992647c8631138f.jpg
Gilera,2012,Venant,Guediawaye,Dakar,280000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/956c81aaecd932f8f1e6fc9a3d23adaf/-/horizon-files-prod/ed/picture/q7857n9g/ed981718c5cc8989c76ce09da583153756ceb6f9.jpg
Yamaha,2018,D'occasion,Cité Damel,Dakar,900000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/2ac1261dccc3f98f8732b0d3c42ef762/-/horizon-files-prod/ed/picture/qgqg20e4/135d0cae1fdffc3bb4dbd91a0c978b1d62cfaffc.jpg
Piaggio,2020,Venant,Guediawaye,Dakar,299000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/e8f0ecc800dbc92d5f1d58c8c4b336f8/-/horizon-files-prod/ed/picture/qen5rmrd/2fcba216afd765a8e6142df7888dcf3285f73de9.jpg
CF Moto,2022,D'occasion,Dalifort,Dakar,1300000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/210e59d4b77eb54c7c3c4b55cd6cffac/-/horizon-files-prod/ed/picture/q448d9x4/234ec2210f32e8b640c739246b6dfb56ee6a8c1a.jpg
Vespa,2008,Venant,Guediawaye,Dakar,250000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/302956862c22764a7ec7c3758d255d9c/-/horizon-files-prod/ed/picture/q785vw48/514ff062a3aa74a79b1b5709cf8726ae60617a8f.jpg
BMW,2018,D'occasion,Plateau,Dakar,5150000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/c63cc7efe7ba2a1955ff92269a6f73c6/-/horizon-files-prod/ed/picture/qq47dq54/f6cc3095a79c82d85aa8fe49ebb5707126c2aa29.jpg
Autre,2022,Neuf,Plateau,Dakar,200000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/bd1838be97af916656f49b37bdf02e59/-/horizon-files-prod/ed/picture/qv4ep9rx/c0f7e2c6d76e480bfe581b95c40c907b75dc2e1b.jpg
Honda,2019,Venant,Fann,Dakar,4850000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/6dfb047fd0dba0a75e8c43fb9c500efd/-/horizon-files-prod/ed/picture/q787jq6j/d1ca5feef6bf2bf7c2cd08dcc44dc496e8c6e766.jpg
Yamaha,2012,Venant,Ouakam,Dakar,1000000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/966733d0a80b971e19e5ffab2b05185d/-/horizon-files-prod/ed/picture/q9m9mke7/d038f4ac616ce634ee81e3bb102f3609b88c09fb.jpg
Yamaha,2022,Venant,Cité keur gorgui,Dakar,2700000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/87861689f7e60abd929430055a5d10fc/-/horizon-files-prod/ed/picture/q7882x6g/c44827db35690c51e6d16dade33d111a44abb984.jpg
Yamaha,2021,D'occasion,Ngor,Dakar,3700000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/53112742420a57e7a5acc140322aa2d3/-/horizon-files-prod/ed/picture/qngx5v49/12754241b0b1316bb8a18a4142d7651673ad24d7.jpg
