marque,annee,etat,localite,region,prix,lien_image
KTM,2009,D'occasion,Ngor,Dakar,1300000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/f709744a51286ebbb2176a29a395628a/-/horizon-files-prod/ed/picture/qv4eq6zv/38d36c4976bd508474b6dc17431ede7d02099714.jpg
Yamaha,2021,Venant,Plateau,Dakar,3300000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/3c774015303818aaaa1172b77f8332b1/-/horizon-files-prod/ed/picture/qwe28xvm/a2f1027352d4ae9202d8cd7ef701d8fa18f77d9d.jpg
BMW,2020,Venant,Dieuppeul,Dakar,5500000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/aa7d4f2707a46b4f75995469d2af6faf/-/horizon-files-prod/ed/picture/qngxzv5e/0a1cf02242c4cd2631260712354ca7a9a70a498a.jpg
BMW,2020,Venant,Dieuppeul,Dakar,5900000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/e914811b09940be760fb9d40f5c170c1/-/horizon-files-prod/ed/picture/q448m9jp/19e1a8a393c4d6d1682b3aaac49590ae1548f2ba.jpg
Honda,2023,Venant,Dieuppeul,Dakar,3900000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/b301732f3e713cc130b469781e895365/-/horizon-files-prod/ed/picture/qrzv0mg5/b000d65574d8a8ffcf48dbcd6e564b53c84d40c5.jpg
Autre,2024,Neuf,Ouakam,Dakar,550000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/236f8c27dd9c977994415fdd38578870/-/horizon-files-prod/ed/picture/qwe2j5wd/6906b05a31018109c473109e07322d45e46604ed.jpg
Autre,2023,Neuf,Ouakam,Dakar,520000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/89b27d3a281faa46990291315b43361d/-/horizon-files-prod/ed/picture/qxj2xnrq/0f2e5ff166955b9b7923dd54af7ac5507f241e4b.jpg
Honda,2016,Venant,Dieuppeul,Dakar,1150000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/ec8158f6b12cc9e2301d4c21c961a9cd/-/horizon-files-prod/ed/picture/qwe288ed/cd260fd96e3ed46560504494b82973bf64607b69.jpg
Yamaha,2021,Venant,Plateau,Dakar,3300000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/d4b0c5934ecc24668183eb048fdbeca8/-/horizon-files-prod/ed/picture/q2jqdd2j/7969583f85926d302518beb0987225e1f4761b5b.jpg
CF Moto,2013,D'occasion,Mbour,Thiès,3880000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/9e7197cbc14d56f0f6382f79584ea62c/-/horizon-files-prod/ed/picture/q2jqddgd/9c46cfbbf5ba57170ec32ca9d15fa57f2d3c6218.jpg
Autre,2024,Neuf,Ouakam,Dakar,500000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/818fc995401a1c505baf0e1d797d80ab/-/horizon-files-prod/ed/picture/qgq9zjdr/ba2a13c24dfa81eb512370c62224e6ef26bd490e.jpg
Kymco,2015,D'occasion,Hann maristes,Dakar,750000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/90bd71b880f0d8cac9aea0d5119f5eaa/-/horizon-files-prod/ed/picture/qenq7n8d/9488015b631d9002f40628396372f6509d93a295.jpg
KTM,2012,D'occasion,Ouest foire,Dakar,250000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/c42a99993439fc0e697014a38839ff3a/-/horizon-files-prod/ed/picture/qrzv0jxq/44bb921254a985b69be9c7b2a92d308f2ef0b8d3.jpg
Husqvarna,2021,D'occasion,Plateau,Dakar,2500000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/49b5519e3ac96ba9067457bd0db8465b/-/horizon-files-prod/ed/picture/qngxzxdx/dd750fe4b7dcf7f9a6d54a80ceabe41b47947592.jpg
Honda,2014,D'occasion,Sicap foire,Dakar,600000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/990a2b13a1bb5fa231630822b254769f/-/horizon-files-prod/ed/picture/qngxzdqg/71482b612d57640bd037fcd78f7bef56f158d36c.jpg
Honda,2016,Venant,Parcelles Assainies,Dakar,600000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/785fb18bf9fa68bd2119894e853ec656/-/horizon-files-prod/ed/picture/q785m5wn/6a84e1b5c50d5fa8e631a4dfb6f921fa82cd3545.jpg
Suzuki,2023,Venant,Pikine,Dakar,425000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/fb2c0ec62fa0d7b116a32912921a5584/-/horizon-files-prod/ed/picture/qxj2z688/410cba8b8c2145b81fa26b6245438526bddb450c.jpg
Piaggio,2017,Venant,Guediawaye,Dakar,950000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/1e63e2c6494d9429a0d99b308c8772a4/-/horizon-files-prod/ed/picture/qm5pgjpg/c0dc444a0815f5b6d5f753bbf5a2eccf6e0087b4.jpg
Yamaha,2021,D'occasion,Hann maristes,Dakar,3000000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/ea6187977dfc8115bf886e9fdde5af13/-/horizon-files-prod/ed/picture/qngx09qm/ceb471aefae970584bc3e972e0a03718820c332b.jpg
Piaggio,2020,Neuf,Amitié,Dakar,1350000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/11de5b81354f2a9cf96e0ed2ae58e37d/-/horizon-files-prod/ed/picture/qpd67pxr/521aa6bd0b6b62ed1ecb3af339ea63aca9254e06.jpg
Kymco,2024,Venant,Pikine,Dakar,475000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/da6c99c6c9e173319463a0351993c224/-/horizon-files-prod/ed/picture/q448mjzr/451befb6cda5e82f9cceba4d441a7fd3ea08fb5a.jpg
Honda,2024,Venant,Pikine,Dakar,1250000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/78ae680d5adaf941ca7d04d489f2f1de/-/horizon-files-prod/ed/picture/qq47vqjz/414b70276786cd3b6a331cacc2f9261e0004b898.jpg
