marque,annee,etat,type_boite_vitesse,localite,region,prix,lien_image
Toyota,2011,D'occasion,Manuelle,Plateau,Dakar,2200000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/f3e8c9669d82da41eb4d1c66c9326261/-/horizon-files-prod/ed/picture/qwez568m/5791d1c0283ce29bcf36d08a6e2d0acd6aba40af.jpg
Hyundai,2008,D'occasion,Manuelle,Plateau,Dakar,2200000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/07b426312aab4311068590e710a58b9f/-/horizon-files-prod/ed/picture/qxj2gm4j/d5e543c0970db96a4047b74d450c2562abc68d8c.jpg
Mitsubishi,2010,D'occasion,Manuelle,Plateau,Dakar,3800000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/8912c4c887e2001c4d3bb9017cd8d67c/-/horizon-files-prod/ed/picture/q56xvxn6/acdf1576d281cf7e9979f0a78e8f1482016b9dac.jpg
Peugeot,2000,D'occasion,Manuelle,Plateau,Dakar,2500000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/ab88b83a43f65dc5d1d09ce423ebadf0/-/horizon-files-prod/ed/picture/qj4r2k6d/d9a4f79193a0746a4844be5d96b541c2c1506de7.jpg
Nissan,2014,D'occasion,Automatique,Plateau,Dakar,4700000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/442f109b018301ea864f1a508741d346/-/horizon-files-prod/ed/picture/q6xknwg4/e5ca0802b62471f7aa20ada1188fcb54ac9d10f3.jpg
Hyundai,2014,Venant,Automatique,Parcelles Assainies,Dakar,8700000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/013d8b978164fadfcd3886bc3968fe7a/-/horizon-files-prod/ed/picture/qzvderpx/9739f400c8d496e4d0d975bc0a473eab3d1c5e03.jpg
Chevrolet,2016,Venant,Automatique,Parcelles Assainies,Dakar,7500000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/0fc8c71c4c29c3da45a972bfd3687574/-/horizon-files-prod/ed/picture/q56x5dq2/c54a7f1169c61987daeb5bfbbd2b005840df3931.jpg
Ford,2014,D'occasion,Automatique,Parcelles Assainies,Dakar,4900000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/5dff3e7033e19462ed0ccc4ce2755d70/-/horizon-files-prod/ed/picture/q6xkmgmj/c92fd7ec89d862d1e0587749f56e14b7176696d2.jpg
Ford,2012,D'occasion,Automatique,Parcelles Assainies,Dakar,2700000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/536509cd76cdb5513968bacd57c78fbb/-/horizon-files-prod/ed/picture/q448q82v/4bdefb9ab31505b0f0b645103a57bfaee8e2496c.jpg
Nissan,2014,D'occasion,Automatique,Cité keur gorgui,Dakar,21800000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/19f79dd493b0d2ea457d5e985b8cefc9/-/horizon-files-prod/ed/picture/qenqjr2v/6390afbd547cfa14909fa97fc199651fb2ed5e28.jpg
